2026-04-22 12:05:01,222 | INFO | PnL Summary: {'realized': 0, 'unrealized': -25.15, 'total': -25.15, 'open_positions': 1}
2026-04-22 12:05:01,224 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:05:31,224 | INFO | Cycle start
2026-04-22 12:05:31,240 | INFO | Regime: BEAR
2026-04-22 12:05:31,247 | INFO | Spot: 22500
2026-04-22 12:05:31,251 | INFO | MTM PnL: 20.15
2026-04-22 12:05:31,251 | INFO | PnL Summary: {'realized': 0, 'unrealized': 20.15, 'total': 20.15, 'open_positions': 1}
2026-04-22 12:05:31,251 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:06:01,256 | INFO | Cycle start
2026-04-22 12:06:01,532 | INFO | Regime: BEAR
2026-04-22 12:06:01,532 | INFO | Spot: 22500
2026-04-22 12:06:01,532 | INFO | MTM PnL: -92.73
2026-04-22 12:06:01,534 | INFO | PnL Summary: {'realized': 0, 'unrealized': -92.73, 'total': -92.73, 'open_positions': 1}
2026-04-22 12:06:01,534 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:06:05,785 | INFO | Bot stopped
2026-04-22 12:07:38,147 | INFO | Bot started
2026-04-22 12:07:45,950 | INFO | Cycle start
2026-04-22 12:07:47,677 | INFO | Regime: BEAR
2026-04-22 12:07:49,409 | ERROR | Error in cycle
2026-04-22 12:08:19,489 | INFO | Cycle start
2026-04-22 12:08:19,514 | INFO | Regime: BEAR
2026-04-22 12:08:21,209 | ERROR | Error in cycle
2026-04-22 12:08:26,971 | INFO | Bot stopped
2026-04-22 12:14:12,551 | INFO | Bot started
2026-04-22 12:14:39,490 | INFO | Cycle start
2026-04-22 12:14:42,247 | INFO | Regime: BULL
2026-04-22 12:14:43,949 | ERROR | Error in cycle
2026-04-22 12:15:13,988 | INFO | Cycle start
2026-04-22 12:15:14,008 | INFO | Regime: BULL
2026-04-22 12:15:15,641 | ERROR | Error in cycle
2026-04-22 12:15:21,353 | INFO | Bot stopped
2026-04-22 13:37:14,856 | INFO | Bot started
2026-04-22 13:40:11,136 | INFO | Bot started
2026-04-22 13:51:03,298 | INFO | Bot started
2026-04-22 13:51:03,487 | INFO | Cycle start
2026-04-22 13:51:04,332 | INFO | Regime: BULL
2026-04-22 13:51:04,332 | INFO | No option chain
2026-04-22 13:51:34,335 | INFO | Cycle start
2026-04-22 13:51:34,341 | INFO | Regime: BULL
2026-04-22 13:51:34,341 | INFO | No option chain
2026-04-22 13:52:04,360 | INFO | Cycle start
2026-04-22 13:52:04,614 | INFO | Regime: BULL
2026-04-22 13:52:04,614 | INFO | No option chain
2026-04-22 13:52:29,251 | INFO | Bot started
2026-04-22 13:52:29,281 | INFO | Cycle start
2026-04-22 13:52:30,508 | INFO | Regime: BULL
2026-04-22 13:52:30,510 | INFO | No option chain
2026-04-22 13:52:34,619 | INFO | Cycle start
2026-04-22 13:52:34,972 | INFO | Regime: BULL
2026-04-22 13:52:35,072 | INFO | No option chain
2026-04-22 13:53:00,512 | INFO | Cycle start
2026-04-22 13:53:00,521 | INFO | Regime: BULL
2026-04-22 13:53:00,522 | INFO | No option chain
2026-04-22 13:53:05,075 | INFO | Cycle start
2026-04-22 13:53:05,400 | INFO | Regime: BULL
2026-04-22 13:53:05,400 | INFO | No option chain
2026-04-22 13:53:30,526 | INFO | Cycle start
2026-04-22 13:53:30,729 | INFO | Regime: BULL
2026-04-22 13:53:30,729 | INFO | No option chain
2026-04-22 13:53:34,515 | INFO | Bot stopped
2026-04-22 13:53:35,415 | INFO | Cycle start
2026-04-22 13:53:35,426 | INFO | Regime: BULL
2026-04-22 13:53:35,426 | INFO | No option chain
2026-04-22 13:54:05,446 | INFO | Cycle start
2026-04-22 13:54:05,643 | INFO | Regime: BULL
2026-04-22 13:54:05,643 | INFO | No option chain
2026-04-22 13:54:17,559 | INFO | Bot started
2026-04-22 13:54:17,573 | INFO | Cycle start
2026-04-22 13:54:18,222 | INFO | Regime: BULL
2026-04-22 13:54:18,225 | INFO | No option chain
2026-04-22 13:54:35,655 | INFO | Cycle start
2026-04-22 13:54:35,660 | INFO | Regime: BULL
2026-04-22 13:54:35,660 | INFO | No option chain
2026-04-22 13:54:48,240 | INFO | Cycle start
2026-04-22 13:54:48,245 | INFO | Regime: BULL
2026-04-22 13:54:48,245 | INFO | No option chain
2026-04-22 13:55:05,663 | INFO | Cycle start
2026-04-22 13:55:06,476 | INFO | Regime: BULL
2026-04-22 13:55:06,503 | INFO | No option chain
2026-04-22 13:55:18,253 | INFO | Cycle start
2026-04-22 13:55:20,189 | INFO | Regime: BULL
2026-04-22 13:55:20,189 | INFO | No option chain
2026-04-22 13:55:25,397 | INFO | Bot stopped
2026-04-22 13:55:36,612 | INFO | Cycle start
2026-04-22 13:55:36,968 | INFO | Regime: BULL
2026-04-22 13:55:37,004 | INFO | No option chain
2026-04-22 13:56:07,078 | INFO | Cycle start
2026-04-22 13:56:07,286 | INFO | Regime: BULL
2026-04-22 13:56:07,286 | INFO | No option chain
2026-04-22 13:56:37,303 | INFO | Cycle start
2026-04-22 13:56:37,311 | INFO | Regime: BULL
